Review,Category
The product arrived late and customer service didn't respond to my emails.,"Delivery, Customer Service"
"The shirt quality is terrible, it shrunk after the first wash.",Quality Problem
"The delivery was delayed by 3 weeks, very disappointing.",Delivery
The price was way too high for such a cheap product.,Delivery
"I don't like the color of the product, it's too bright for my taste.",Personal Preference
"I expected a better camera quality for the price, not worth it.",Quality Problem
The customer service was rude and unhelpful when I asked for a refund.,Customer Service
The product worked fine but didn¡¯t match the description online.,Product Description
The delivery was very slow and the package arrived damaged.,Delivery
I feel like the product is overpriced for what it offers.,Price
The item arrived as expected but the material quality is not great.,Quality Problem
"Although the product works, I don¡¯t think it¡¯s worth the price.",Price
The customer service team took forever to answer my questions.,Customer Service
"The product design is poor, not what I imagined.",Product Design
The movie was boring and didn't meet my expectations at all.,Others
The product was great but the shipping took longer than expected.,Delivery
"The customer service gave me no solution to my issue, very disappointing.",Customer Service
The shoes fit badly and are uncomfortable to wear.,Quality Problem
"The product was much smaller than expected, not as described.",Product Description
"Not happy with the product, it broke after just two uses.",Quality Problem
